cod_provin,provincia,canton,tipo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,X,Y
3,Cartago,Jiménez,Vertedero a cielo abierto,0.504950523184441,0.504764526053062,0.506775984847453,0.589399325451311,0.510959293635728,0.616146298817471,0.624057287938637,0.631767708481806,0.63695596540687,0.643125534606322,0.648967456214203,-83.728681,9.856803
5,Guanacaste,La Cruz,Vertedero a cielo abierto,0.417353637205636,0.425794200166542,0.432583315750091,0.436451311720883,0.446888049116587,0.449158056157393,0.456547702984428,0.461490551957107,0.464723505541177,0.467846997455982,0.463388109777239,-85.625075,11.067906
2,Alajuela,Los Chiles,Relleno Sanitario,0.39671283486922,0.405365900145902,0.413963219377099,0.421262597584228,0.425033942089212,0.433411952490992,0.438579938161148,0.44000385881984,0.433921375172512,0.431585306091943,0.427388000970885,-84.677561,10.994333
6,Puntarenas,Montes de Oro,Relleno Sanitario,0.510659089520884,0.507521272982362,0.513433173937356,0.517230648453562,0.526590999807593,0.531023879466462,0.532976766663255,0.532840194232405,0.53564966036437,0.53054037604178,0.530001076248233,-84.759294,10.063242
5,Guanacaste,Nandayure,Vertedero controlado,0.408860959984211,0.406332059096998,0.401021098633381,0.4058092931798,0.404644627895206,0.415223422338731,0.411849881667313,0.411669119755598,0.411545898743291,0.409265791668935,0.40560133218219,-85.252011,10.009075
1,San José,Pérez Zeledón,Vertedero semicontrolado,0.513855395812982,0.530072241894784,0.535972878727296,0.536214959919636,0.539516204962558,0.541139273625168,0.539584089652677,0.536754548731785,0.537213554439363,0.535814079825454,0.536272612549305,-83.706556,9.3408
7,Limón,Limón,Relleno Sanitario,0.500922887743641,0.507411856951745,0.515072584953364,0.520807818590453,0.524095336047072,0.531045680110088,0.536699304176831,0.540159014862637,0.542246913539988,0.543938570516256,0.547100528158975,-83.086972,9.956022
2,Alajuela,San Carlos,Relleno Sanitario,0.493466402837045,0.499448677599014,0.507459263632651,0.513156585826069,0.519549740913557,0.524741455907869,0.528988668046034,0.531119234970676,0.533704576037162,0.534682891600266,0.535820842528211,-84.467258,10.388083
1,San José,San José,Relleno Sanitario,0.665614766583504,0.673296386572689,0.67570709591847,0.642512983048994,0.678173034364334,0.640279600888403,0.637554293921204,0.635095230246523,0.632998759983125,0.628991674942212,0.627900795068025,-84.156828,9.96575
2,Alajuela,San Ramón,Relleno Sanitario,0.55251306918859,0.55312536257861,0.558604884973527,0.565301716628991,0.5621991632551,0.570672174595101,0.572462028629002,0.572270020192977,0.574768849497913,0.575917185174218,0.576944029301926,-84.482214,10.108081
4,Heredia,Santo Domingo,Vertedero controlado,0.654469844688186,0.653836171665043,0.654321725176095,0.652852945008016,0.653180356370083,0.651977544730162,0.653517102779378,0.653790355804325,0.652228129823004,0.651871048626618,0.653602639092634,-84.082597,9.970778
4,Heredia,Sarapiquí,Vertedero a cielo abierto,0.358612044032419,0.382328533214821,0.393557849639421,0.403433805089209,0.411697680431364,0.419548262081658,0.429382144019261,0.435691331656751,0.440621425520665,0.439814915895148,0.446574011870243,-84.120778,10.445158
3,Cartago,Turrialba,Relleno Sanitario,0.512125589932846,0.511666425530937,0.511560705343767,0.497815603850551,0.51177824843439,0.493202755679079,0.495209971485155,0.491524223993292,0.492067979962142,0.488797426411784,0.488058072801532,-83.687975,9.898522
2,Alajuela,Upala,Vertedero semicontrolado,0.418716968244648,0.426950571504812,0.4385386026505,0.446737576985929,0.453154180454586,0.461385357401068,0.467994575157874,0.468667094468722,0.471173976980644,0.472027304902782,0.467476355259743,-84.97035,10.826772
